date,npa_on_the_day,npa_day_before,npa_one_week_out,npa_two_weeks_out,npa_one_month_out,npa_two_months_out
2025-02-16,39.0,51.0,73.0,73.0,68.0,67.0
2025-02-17,55.0,68.0,76.0,74.0,70.0,66.0
2025-01-21,52.0,58.0,70.0,66.0,67.0,
2025-02-19,47.0,69.0,74.0,73.0,69.0,65.0
2025-02-20,48.0,57.0,77.0,70.0,67.0,65.0
2025-02-22,13.0,21.0,19.0,13.0,13.0,12.0
2025-02-23,15.0,20.0,31.0,23.0,19.0,20.0
2025-02-24,18.0,22.0,32.0,26.0,18.0,22.0
2025-02-25,19.0,24.0,32.0,27.0,18.0,19.0
2025-02-26,18.0,22.0,22.0,26.0,,20.0
2025-02-27,22.0,27.0,30.0,31.0,22.0,22.0
2025-02-28,20.0,25.0,18.0,21.0,18.0,16.0
2025-03-01,15.0,47.0,44.0,55.0,54.0,58.0
2025-03-02,13.0,26.0,63.0,75.0,69.0,69.0
2025-03-05,47.0,55.0,64.0,70.0,77.0,70.0
2025-03-06,47.0,54.0,63.0,64.0,70.0,69.0
2025-03-07,35.0,39.0,51.0,52.0,,58.0
2025-03-09,11.0,21.0,61.0,62.0,72.0,68.0
2025-03-10,21.0,25.0,69.0,69.0,75.0,69.0
2025-03-11,46.0,55.0,69.0,67.0,74.0,74.0
2025-03-12,45.0,54.0,67.0,69.0,74.0,77.0
2025-03-14,43.0,40.0,49.0,56.0,69.0,72.0
2025-03-15,21.0,43.0,48.0,54.0,69.0,65.0
2025-03-16,26.0,29.0,63.0,70.0,81.0,71.0
2025-02-18,64.0,69.0,78.0,74.0,69.0,
2025-03-18,51.0,58.0,67.0,68.0,,73.0
2025-03-19,53.0,57.0,66.0,69.0,73.0,74.0
2025-03-20,74.0,65.0,70.0,70.0,70.0,73.0
2025-02-21,17.0,21.0,19.0,,12.0,
2025-03-21,,62.0,57.0,59.0,59.0,60.0
2025-02-08,35.0,,62.0,54.0,,
2025-03-22,,,50.0,55.0,59.0,60.0
2025-03-24,,,66.0,64.0,67.0,68.0
2025-03-25,,,64.0,66.0,67.0,69.0
2025-03-26,,,62.0,63.0,67.0,67.0
2025-03-27,,,79.0,66.0,70.0,69.0
2025-03-28,,,,53.0,58.0,64.0
2025-03-29,,,,52.0,57.0,67.0
2025-03-30,,,,68.0,70.0,77.0
2025-03-03,19.0,22.0,63.0,75.0,74.0,
2025-03-31,,,,66.0,69.0,77.0
2025-03-04,51.0,56.0,62.0,75.0,74.0,
2025-04-01,,,,60.0,63.0,67.0
2025-04-02,,,,64.0,66.0,69.0
2025-04-03,,,,66.0,55.0,59.0
2025-03-08,9.0,32.0,46.0,51.0,61.0,
2025-04-06,,,,,50.0,56.0
2025-04-07,,,,,56.0,62.0
2025-04-08,,,,,54.0,60.0
2025-04-09,,,,,54.0,58.0
2025-03-13,46.0,51.0,65.0,71.0,80.0,
2025-04-10,,,,,55.0,64.0
2025-04-11,,,,,,63.0
2025-04-12,,,,,53.0,62.0
2025-04-13,,,,,51.0,62.0
2025-03-17,30.0,37.0,66.0,68.0,80.0,
2025-04-14,,,,,53.0,64.0
2025-04-15,,,,,54.0,66.0
2025-04-16,,,,,53.0,57.0
2025-04-17,,,,,57.0,55.0
2025-04-18,,,,,,5.0
2025-04-19,,,,,,4.0
2025-03-23,,,67.0,68.0,71.0,
2025-04-20,,,,,,5.0
2025-04-21,,,,,,8.0
2025-04-23,,,,,,55.0
2025-04-24,,,,,,55.0
2025-04-25,,,,,,56.0
2025-04-26,,,,,,59.0
2025-04-27,,,,,,64.0
2025-04-28,,,,,,62.0
2025-04-29,,,,,,64.0
2025-04-30,,,,,,64.0
2025-05-01,,,,,,63.0
2025-04-04,,,,,44.0,
2025-05-02,,,,,,55.0
2025-04-05,,,,,46.0,
2025-05-03,,,,,,55.0
2025-05-04,,,,,,59.0
2025-05-05,,,,,,67.0
2025-05-06,,,,,,66.0
2025-05-07,,,,,,65.0
2025-05-08,,,,,,63.0
2025-05-10,,,,,,62.0
2025-05-12,,,,,,64.0
2025-05-13,,,,,,64.0
2025-05-14,,,,,,65.0
2025-05-15,,,,,,78.0
2025-11-04,3.0,25.0,,,,
2025-11-10,,46.0,54.0,,,
2025-11-17,,,,49.0,,
2025-12-01,,,,,56.0,
2025-12-29,,,,,,21.0
2025-11-05,3.0,11.0,,,,
2025-11-11,13.0,,51.0,,,
2025-11-18,,,45.0,48.0,,
2025-12-02,,,,,56.0,
2025-12-30,,,,,,6.0
2025-11-06,4.0,5.0,,,,
2025-11-12,,39.0,51.0,,,
2025-11-19,,,,52.0,,
2025-12-03,,,,,58.0,
2025-12-31,,,,,,2.0
2025-11-07,1.0,2.0,,,,
2025-11-13,,,42.0,,,
2025-11-20,,,,52.0,,
2025-12-04,,,,,57.0,
2026-01-01,,,,,,4.0
2025-11-08,1.0,3.0,,,,
2025-11-14,,,32.0,,,
2025-11-21,,,,44.0,,
2025-12-05,,,,,45.0,
2026-01-02,,,,,,30.0
2025-11-09,2.0,13.0,,,,
2025-11-15,,,34.0,,,
2025-11-22,,,,41.0,,
2025-12-06,,,,,44.0,
2026-01-03,,,,,,32.0
2025-11-16,,,45.0,,,
2025-11-23,,,,53.0,,
2025-12-07,,,,,54.0,
2026-01-04,,,,,,44.0
2025-11-25,,,,53.0,,
2025-12-09,,,,,58.0,
2026-01-06,,,,,,53.0
